episode,reward
0,-0.82
100,-1.0
200,-0.104
300,-0.087
400,-0.0845
500,-0.04
600,-0.0885
700,-0.0505
800,-0.0485
900,-0.11
1000,-0.038
1100,-0.0675
1200,-0.0685
1300,-0.0785
1400,-0.0595
1500,-0.048
1600,-0.0565
1700,-0.0655
1800,-0.095
1900,-0.0575
2000,-0.064
2100,-0.071
2200,-0.0845
2300,-0.0415
2400,-0.1035
2500,-0.0775
2600,-0.062
2700,-0.069
2800,-0.08
2900,-0.067
3000,-0.0865
3100,-0.034
3200,-0.077
3300,-0.053
3400,-0.0935
3500,-0.0855
3600,-0.105
3700,-0.069
3800,-0.1065
3900,-0.0915
4000,-0.051
4100,-0.0835
4200,-0.085
4300,-0.039
4400,-0.071
4500,-0.0715
4600,-0.0675
4700,-0.0765
4800,-0.036
4900,-0.0735
