episode,reward
0,0.14275
100,0.22275
200,0.464
300,0.945
400,1.0935
500,1.084
600,1.061
700,1.1315
800,1.06875
900,1.12675
1000,1.061
1100,1.05525
1200,1.018
1300,1.057
1400,1.01675
1500,1.0305
1600,0.884
1700,1.06125
1800,1.21925
1900,1.14775
2000,1.069
2100,1.13925
2200,1.246
2300,1.09925
2400,1.04675
2500,1.0235
2600,1.00925
2700,1.0905
2800,1.1205
2900,1.038
3000,1.07525
3100,1.09825
3200,1.016
3300,1.009
3400,1.0365
3500,0.9815
3600,1.0255
3700,1.114
3800,1.011
3900,1.02575
4000,1.026
4100,0.987
4200,1.20075
4300,1.009
4400,0.979
4500,0.983
4600,1.018
4700,1.16675
4800,1.2245
4900,1.19925
