episode,reward
0,1.078
100,1.0205
200,1.25225
300,1.1705
400,1.111
500,1.27475
600,1.10775
700,0.988
800,1.22525
900,1.5255
1000,1.5145
1100,1.64225
1200,1.631
1300,1.57775
1400,1.5535
1500,1.60025
1600,1.55775
1700,1.45725
1800,1.69275
1900,1.6075
2000,1.522
2100,1.5585
2200,1.80575
2300,1.79675
2400,1.7165
2500,1.71325
2600,1.488
2700,1.64825
2800,1.511
2900,1.55275
3000,1.4025
3100,1.611
3200,1.46375
3300,1.53675
3400,1.62975
3500,1.6375
3600,1.4895
3700,1.724
3800,1.53475
3900,1.446
4000,1.1505
4100,1.30125
4200,1.452
4300,1.636
4400,1.64475
4500,1.5285
4600,1.61175
4700,1.732
4800,1.627
4900,1.813
