episode,reward
200,-0.07275
400,0.8315
600,1.335
800,1.2045
1000,1.164
1200,0.95675
1400,1.104
1600,1.177
1800,1.40575
2000,1.3205
2200,1.2825
2400,1.249
2600,1.2435
2800,1.23875
3000,1.15425
3200,1.2115
3400,1.30325
3600,1.222
3800,1.40225
4000,1.45425
4200,1.40125
4400,1.35475
4600,1.60875
4800,1.78575
5000,1.789
5200,1.72175
5400,1.78525
5600,1.5935
5800,1.80325
6000,1.8055
6200,1.62525
6400,1.42075
6600,1.44375
6800,1.8035
7000,1.5845
7200,1.615
7400,1.6925
7600,1.70625
7800,1.5365
8000,1.56925
8200,1.6035
8400,1.836
8600,1.61675
8800,1.615
9000,1.85675
9200,1.5535
9400,1.59425
9600,1.57025
9800,1.57125
