episode,reward
0,0.088
100,0.7505
200,0.8385
300,0.861
400,0.88525
500,0.98025
600,1.012
700,1.0735
800,1.10825
900,1.15375
1000,1.14675
1100,1.35625
1200,1.8795
1300,1.65975
1400,1.53725
1500,1.727
1600,1.6135
1700,1.4405
1800,1.652
1900,1.619
2000,1.748
2100,1.84575
2200,1.7805
2300,2.0055
2400,1.82525
2500,1.81875
2600,1.97
2700,1.92425
2800,2.0975
2900,1.82725
3000,1.7535
3100,1.9615
3200,1.674
3300,1.88875
3400,1.8
3500,1.9595
3600,1.99375
3700,1.903
3800,1.81425
3900,1.88575
4000,1.7825
4100,2.033
4200,1.994
4300,1.8995
4400,2.05875
4500,2.04075
4600,1.77175
4700,2.0415
4800,2.03675
4900,2.047
