episode,reward
0,0.13525
100,0.1665
200,0.4715
300,0.7825
400,0.85025
500,1.0525
600,1.15625
700,1.039
800,1.141
900,1.07225
1000,1.14475
1100,1.105
1200,1.24075
1300,1.223
1400,1.1655
1500,1.0
1600,1.082
1700,1.19475
1800,1.2285
1900,1.1895
2000,1.32975
2100,1.2905
2200,1.20525
2300,1.2645
2400,1.14675
2500,1.17875
2600,1.3415
2700,1.28725
2800,1.26825
2900,1.29325
3000,1.283
3100,1.279
3200,1.3335
3300,1.22425
3400,1.24375
3500,1.27
3600,1.279
3700,1.2315
3800,1.3335
3900,1.325
4000,1.3315
4100,1.187
