episode,reward
0,1.19425
100,0.23225
200,1.17075
300,0.95325
400,1.274
500,1.3575
600,1.20325
700,0.97975
800,0.80025
900,1.198
1000,1.36975
1100,1.4795
1200,1.62075
1300,1.39975
1400,1.4685
1500,1.3805
1600,1.6225
1700,1.49575
1800,1.5015
1900,1.48325
2000,1.49175
2100,1.61975
2200,1.48925
2300,1.60925
2400,1.44825
2500,1.45475
2600,1.32325
2700,1.64825
2800,1.5595
2900,1.485
3000,1.4295
3100,1.42825
3200,1.58425
3300,1.4765
3400,1.42475
3500,1.4235
3600,1.41975
3700,1.34675
3800,1.36775
3900,1.561
4000,1.21425
4100,1.5505
4200,1.5825
4300,1.486
4400,1.52425
4500,1.44375
4600,1.458
4700,1.64
4800,1.5295
4900,1.7335
