episode,reward
200,1.8325
400,1.8315
600,1.3665
800,1.15025
1000,1.13825
1200,1.429
1400,1.21325
1600,1.24775
1800,1.8865
2000,1.90125
2200,1.59475
2400,1.4655
2600,1.2555
2800,1.3535
3000,1.18425
3200,1.54775
3400,1.3075
3600,1.42975
3800,1.25225
4000,1.34925
4200,1.393
4400,1.35925
4600,1.39325
4800,1.313
5000,1.50825
5200,1.39975
5400,1.39475
5600,1.283
5800,1.458
6000,1.369
6200,1.35375
6400,1.45325
6600,1.488
6800,1.35125
7000,1.51325
7200,1.54475
7400,1.4455
7600,1.515
7800,1.583
8000,1.61525
8200,1.6115
8400,1.50675
8600,1.55825
8800,1.43375
9000,1.54925
9200,1.5345
9400,1.70775
9600,1.632
9800,1.5825
