episode,reward
0,-0.4995
100,0.0725
200,0.342
300,0.8715
400,4.5405
500,4.4665
600,4.9205
700,3.8015
800,3.786
900,3.517
1000,5.299
1100,3.3315
1200,3.689
1300,3.382
1400,3.856
1500,2.6125
1600,2.043
1700,2.6835
1800,3.366
1900,3.064
2000,1.462
2100,2.1595
2200,3.2335
2300,1.873
2400,3.0365
2500,2.4285
2600,2.5375
2700,2.7745
2800,2.4695
2900,2.4215
3000,3.6915
3100,4.008
3200,5.118
3300,5.465
3400,5.4835
3500,5.0125
3600,5.3795
3700,5.4065
3800,5.4095
3900,5.385
4000,5.556
4100,5.993
4200,5.842
4300,5.396
4400,5.9495
4500,5.807
4600,5.9195
4700,5.885
4800,5.8185
4900,4.982
