episode,reward
0,-0.5095
100,-0.4645
200,0.66175
300,0.9855
400,1.028
500,1.13575
600,1.1755
700,1.26125
800,1.13525
900,1.09175
1000,1.05325
1100,1.12675
1200,1.0595
1300,0.9445
1400,1.17525
1500,1.057
1600,1.02125
1700,1.009
1800,1.14525
1900,1.20475
2000,1.235
2100,1.27575
2200,1.15675
2300,1.27125
2400,1.18975
2500,1.06625
2600,1.05475
2700,1.1405
2800,1.19725
2900,1.0875
3000,1.192
3100,1.233
3200,1.2415
3300,1.2185
3400,1.15175
3500,1.216
3600,1.2375
3700,1.292
3800,1.3705
3900,1.34225
4000,1.35775
4100,1.2725
4200,1.387
4300,1.351
4400,1.26725
4500,1.3885
4600,1.43925
4700,1.30725
4800,1.361
4900,1.40075
